gene alpha_original SE_original P_original N_original Phet_original alpha SE P Nend Phet
ENSG00000158296 -0.02457 0.03659 0.502 118 1 -0.02457 0.03659 0.502 118 1
ENSG00000158301 0.11909 0.07006 0.0891 94 1 0.11909 0.07006 0.0891 94 1
ENSG00000158315 9e-05 0.037 0.998 123 0.39 9e-05 0.037 0.998 123 0.39
ENSG00000158321 -0.00922 0.03587 0.797 114 0.579 -0.00922 0.03587 0.797 114 0.579
ENSG00000158352 0.00304 0.06929 0.965 101 1 0.00304 0.06929 0.965 101 1
ENSG00000158373 -0.02612 0.03618 0.47 122 0.394 -0.02612 0.03618 0.47 122 0.394
ENSG00000158402 -0.02891 0.03526 0.412 124 0.894 -0.02891 0.03526 0.412 124 0.894
ENSG00000158406 -0.01167 0.03577 0.744 119 0.991 -0.01167 0.03577 0.744 119 0.991
ENSG00000158411 6e-04 0.05611 0.992 102 1 6e-04 0.05611 0.992 102 1
ENSG00000158417 0.0164 0.03833 0.669 124 0.979 0.0164 0.03833 0.669 124 0.979
ENSG00000158423 -0.02089 0.0714 0.77 92 1 -0.02089 0.0714 0.77 92 1
ENSG00000158427 -0.04841 0.06969 0.487 99 1 -0.04841 0.06969 0.487 99 1
ENSG00000158428 -0.02628 0.03881 0.498 119 0.981 -0.02628 0.03881 0.498 119 0.981
ENSG00000158435 0.00635 0.03968 0.873 117 0.639 0.00635 0.03968 0.873 117 0.639
ENSG00000158445 -0.02538 0.0598 0.671 97 1 -0.02538 0.0598 0.671 97 1
ENSG00000158457 -0.00338 0.03539 0.924 119 0.794 -0.00338 0.03539 0.924 119 0.794
ENSG00000158467 0.03314 0.03503 0.344 125 0.975 0.03314 0.03503 0.344 125 0.975
ENSG00000158470 -0.04081 0.0362 0.26 116 0.788 -0.04081 0.0362 0.26 116 0.788
ENSG00000158473 -0.11559 0.03626 0.00144 119 0.334 -0.11559 0.03626 0.00144 119 0.334
ENSG00000158477 -0.07882 0.0355 0.0264 120 0.813 -0.07882 0.0355 0.0264 120 0.813
ENSG00000158480 0.014 0.03524 0.691 124 0.937 0.014 0.03524 0.691 124 0.937
ENSG00000158481 -0.00058 0.03513 0.987 124 0.547 -0.00058 0.03513 0.987 124 0.547
ENSG00000158482 0.00466 0.09403 0.96 85 1 0.00466 0.09403 0.96 85 1
ENSG00000158483 0.04538 0.09782 0.643 79 1 0.04538 0.09782 0.643 79 1
ENSG00000158485 -0.01481 0.03523 0.674 123 0.62 -0.01481 0.03523 0.674 123 0.62
ENSG00000158486 0.01776 0.03683 0.63 122 0.926 0.01776 0.03683 0.63 122 0.926
ENSG00000158488 -0.05484 0.03534 0.121 124 0.882 -0.05484 0.03534 0.121 124 0.882
ENSG00000158517 0.06255 0.04147 0.131 113 0.952 0.06255 0.04147 0.131 113 0.952
ENSG00000158525 0.0117 0.05439 0.83 109 1 0.0117 0.05439 0.83 109 1
ENSG00000158526 0.0462 0.06874 0.501 102 1 0.0462 0.06874 0.501 102 1
ENSG00000158528 -0.02288 0.03875 0.555 121 0.99 -0.02288 0.03875 0.555 121 0.99
ENSG00000158545 -0.02028 0.03528 0.565 122 0.913 -0.02028 0.03528 0.565 122 0.913
ENSG00000158552 0.05703 0.03863 0.14 121 0.993 0.05703 0.03863 0.14 121 0.993
ENSG00000158555 0.01679 0.03513 0.633 123 0.983 0.01679 0.03513 0.633 123 0.983
ENSG00000158560 0.0391 0.03625 0.281 122 0.958 0.0391 0.03625 0.281 122 0.958
ENSG00000158571 -0.01461 0.07437 0.844 95 1 -0.01461 0.07437 0.844 95 1
ENSG00000158578 0.16956 0.07227 0.019 88 1 0.16956 0.07227 0.019 88 1
ENSG00000158604 -0.02851 0.03544 0.421 121 0.994 -0.02851 0.03544 0.421 121 0.994
ENSG00000158615 -0.0095 0.03543 0.789 121 0.754 -0.0095 0.03543 0.789 121 0.754
ENSG00000158623 -0.06253 0.03866 0.106 122 0.692 -0.06253 0.03866 0.106 122 0.692
ENSG00000158636 -0.06194 0.03531 0.0794 123 0.936 -0.06194 0.03531 0.0794 123 0.936
ENSG00000158669 0.06214 0.05408 0.251 108 1 0.06214 0.05408 0.251 108 1
ENSG00000158683 0.01191 0.03538 0.737 121 0.929 0.01191 0.03538 0.737 121 0.929
ENSG00000158691 0.06068 0.03534 0.086 120 0.936 0.06068 0.03534 0.086 120 0.936
ENSG00000158710 0.02082 0.03533 0.556 122 0.996 0.02082 0.03533 0.556 122 0.996
ENSG00000158711 0.01038 0.03517 0.768 124 0.846 0.01038 0.03517 0.768 124 0.846
ENSG00000158714 -0.05418 0.05395 0.315 109 0.999 -0.05418 0.05395 0.315 109 0.999
ENSG00000158715 0.0063 0.03507 0.857 125 0.934 0.0063 0.03507 0.857 125 0.934
ENSG00000158716 -0.07215 0.03524 0.0406 122 0.982 -0.07215 0.03524 0.0406 122 0.982
ENSG00000158717 0.05027 0.03505 0.151 125 0.844 0.05027 0.03505 0.151 125 0.844
ENSG00000158747 0.05087 0.03954 0.198 114 0.992 0.05087 0.03954 0.198 114 0.992
ENSG00000158748 -0.03682 0.03534 0.298 120 0.948 -0.03682 0.03534 0.298 120 0.948
ENSG00000158764 0.03648 0.03594 0.31 125 0.988 0.03648 0.03594 0.31 125 0.988
ENSG00000158769 0.01829 0.03514 0.603 125 0.881 0.01829 0.03514 0.603 125 0.881
ENSG00000158773 -0.01806 0.03507 0.606 125 0.901 -0.01806 0.03507 0.606 125 0.901
ENSG00000158792 -0.0266 0.03527 0.451 122 0.865 -0.0266 0.03527 0.451 122 0.865
ENSG00000158793 0.00681 0.03533 0.847 120 0.857 0.00681 0.03533 0.847 120 0.857
ENSG00000158796 -0.00279 0.03863 0.942 122 0.994 -0.00279 0.03863 0.942 122 0.994
ENSG00000158805 0.03329 0.03532 0.346 122 0.796 0.03329 0.03532 0.346 122 0.796
ENSG00000158806 -0.04749 0.05355 0.375 112 0.999 -0.04749 0.05355 0.375 112 0.999
ENSG00000158813 0.08928 0.07161 0.212 93 1 0.08928 0.07161 0.212 93 1
ENSG00000158815 -0.01051 0.03592 0.77 127 0.942 -0.01051 0.03592 0.77 127 0.942
ENSG00000158816 -0.00251 0.04142 0.952 118 0.997 -0.00251 0.04142 0.952 118 0.997
ENSG00000158825 -0.05073 0.03524 0.15 123 0.963 -0.05073 0.03524 0.15 123 0.963
ENSG00000158828 0.03978 0.0353 0.26 121 0.788 0.03978 0.0353 0.26 121 0.788
ENSG00000158850 -0.01451 0.03954 0.714 116 0.995 -0.01451 0.03954 0.714 116 0.995
ENSG00000158856 0.03951 0.03923 0.314 113 0.955 0.03951 0.03923 0.314 113 0.955
ENSG00000158859 0.02792 0.05382 0.604 108 0.999 0.02792 0.05382 0.604 108 0.999
ENSG00000158863 -0.00765 0.03488 0.826 127 0.975 -0.00765 0.03488 0.826 127 0.975
ENSG00000158864 -0.03192 0.03556 0.369 121 0.943 -0.03192 0.03556 0.369 121 0.943
ENSG00000158865 0.02862 0.03552 0.42 123 0.941 0.02862 0.03552 0.42 123 0.941
ENSG00000158869 0.01965 0.05404 0.716 109 1 0.01965 0.05404 0.716 109 1
ENSG00000158874 0.00358 0.03643 0.922 124 0.581 0.00358 0.03643 0.922 124 0.581
ENSG00000158882 0.01728 0.03871 0.655 121 0.835 0.01728 0.03871 0.655 121 0.835
ENSG00000158887 -0.05683 0.03546 0.109 121 0.995 -0.05683 0.03546 0.109 121 0.995
ENSG00000158941 0.09741 0.03835 0.0111 124 0.994 0.09741 0.03835 0.0111 124 0.994
ENSG00000158966 -0.05442 0.03515 0.122 124 0.571 -0.05442 0.03515 0.122 124 0.571
ENSG00000158985 -0.04283 0.03545 0.227 121 0.69 -0.04283 0.03545 0.227 121 0.69
ENSG00000158987 0.03621 0.03878 0.35 120 0.99 0.03621 0.03878 0.35 120 0.99
ENSG00000159023 0.02246 0.03542 0.526 122 0.804 0.02246 0.03542 0.526 122 0.804
ENSG00000159055 0.00906 0.03947 0.818 121 0.944 0.00906 0.03947 0.818 121 0.944
ENSG00000159063 0.02638 0.03534 0.455 121 0.538 0.02638 0.03534 0.455 121 0.538
ENSG00000159069 0.0056 0.03497 0.873 125 0.992 0.0056 0.03497 0.873 125 0.992
ENSG00000159079 0.07157 0.03545 0.0435 125 0.926 0.07157 0.03545 0.0435 125 0.926
ENSG00000159082 0 0.03496 1 126 0.91 0 0.03496 1 126 0.91
ENSG00000159086 0.0157 0.03947 0.691 121 0.778 0.0157 0.03947 0.691 121 0.778
ENSG00000159110 0.09212 0.03692 0.0126 121 0.997 0.09212 0.03692 0.0126 121 0.997
ENSG00000159111 0.01874 0.03502 0.593 125 0.986 0.01874 0.03502 0.593 125 0.986
ENSG00000159128 -0.00669 0.03582 0.852 122 0.422 -0.00669 0.03582 0.852 122 0.422
ENSG00000159131 0.06846 0.03548 0.0537 120 0.994 0.06846 0.03548 0.0537 120 0.994
ENSG00000159140 -0.07107 0.03518 0.0434 124 0.995 -0.07107 0.03518 0.0434 124 0.995
ENSG00000159147 0.01712 0.03518 0.627 123 0.985 0.01712 0.03518 0.627 123 0.985
ENSG00000159164 0.04932 0.05521 0.372 100 0.999 0.04932 0.05521 0.372 100 0.999
ENSG00000159166 -0.00697 0.03625 0.848 123 0.912 -0.00697 0.03625 0.848 123 0.912
ENSG00000159176 -0.0443 0.03547 0.212 119 0.967 -0.0443 0.03547 0.212 119 0.967
ENSG00000159189 -0.02401 0.03535 0.497 121 0.675 -0.02401 0.03535 0.497 121 0.675
ENSG00000159199 -0.03201 0.03518 0.363 123 0.928 -0.03201 0.03518 0.363 123 0.928
ENSG00000159200 0.02256 0.03523 0.522 124 0.984 0.02256 0.03523 0.522 124 0.984
ENSG00000159202 0.01388 0.03518 0.693 123 0.793 0.01388 0.03518 0.693 123 0.793
ENSG00000159208 -0.10357 0.07358 0.159 93 1 -0.10357 0.07358 0.159 93 1
ENSG00000159210 0.02511 0.03879 0.517 118 0.758 0.02511 0.03879 0.517 118 0.758
ENSG00000159212 -0.01757 0.03496 0.615 126 0.934 -0.01757 0.03496 0.615 126 0.934
ENSG00000159214 0.00478 0.0354 0.893 121 0.82 0.00478 0.0354 0.893 121 0.82
ENSG00000159216 -0.00995 0.03511 0.777 123 0.99 -0.00995 0.03511 0.777 123 0.99
ENSG00000159228 0.02462 0.03541 0.487 123 0.804 0.02462 0.03541 0.487 123 0.804
ENSG00000159231 0.00121 0.03557 0.973 119 0.788 0.00121 0.03557 0.973 119 0.788
ENSG00000159239 -0.00546 0.0389 0.888 122 0.979 -0.00546 0.0389 0.888 122 0.979
ENSG00000159247 -0.00526 0.07195 0.942 93 1 -0.00526 0.07195 0.942 93 1
ENSG00000159256 0.01983 0.03497 0.571 125 0.996 0.01983 0.03497 0.571 125 0.996
ENSG00000159259 -0.01901 0.05347 0.722 115 1 -0.01901 0.05347 0.722 115 1
ENSG00000159263 -0.02853 0.03592 0.427 119 0.998 -0.02853 0.03592 0.427 119 0.998
ENSG00000159267 0.08276 0.03547 0.0196 119 0.906 0.08276 0.03547 0.0196 119 0.906
ENSG00000159307 -0.02033 0.03567 0.569 124 0.887 -0.02033 0.03567 0.569 124 0.887
ENSG00000159314 -0.05003 0.03516 0.155 123 0.984 -0.05003 0.03516 0.155 123 0.984
ENSG00000159322 -0.06097 0.03676 0.0972 124 0.248 -0.06097 0.03676 0.0972 124 0.248
ENSG00000159335 -0.00087 0.03531 0.98 122 0.701 -0.00087 0.03531 0.98 122 0.701
ENSG00000159339 -0.05228 0.03541 0.14 120 0.715 -0.05228 0.03541 0.14 120 0.715
ENSG00000159346 0.05836 0.03515 0.0968 124 0.911 0.05836 0.03515 0.0968 124 0.911
ENSG00000159348 0.01904 0.03552 0.592 118 0.994 0.01904 0.03552 0.592 118 0.994
ENSG00000159352 0.06462 0.03892 0.0968 121 0.768 0.06462 0.03892 0.0968 121 0.768
ENSG00000159363 0.01462 0.03508 0.677 125 0.983 0.01462 0.03508 0.677 125 0.983
ENSG00000159374 0.01258 0.03961 0.751 117 0.925 0.01258 0.03961 0.751 117 0.925
ENSG00000159377 0.02471 0.03576 0.49 117 0.562 0.02471 0.03576 0.49 117 0.562
ENSG00000159388 0.01667 0.03531 0.637 124 0.833 0.01667 0.03531 0.637 124 0.833
ENSG00000159399 -0.03983 0.03961 0.315 117 0.999 -0.03983 0.03961 0.315 117 0.999
ENSG00000159403 0.07025 0.035 0.0447 128 0.999 0.07025 0.035 0.0447 128 0.999
ENSG00000159409 0.01149 0.03561 0.747 122 0.998 0.01149 0.03561 0.747 122 0.998
ENSG00000159423 -0.01736 0.03857 0.653 123 0.924 -0.01736 0.03857 0.653 123 0.924
ENSG00000159433 -0.02526 0.03906 0.518 117 0.969 -0.02526 0.03906 0.518 117 0.969
ENSG00000159445 0.06545 0.03557 0.0657 119 0.967 0.06545 0.03557 0.0657 119 0.967
ENSG00000159459 0.04103 0.03529 0.245 123 0.975 0.04103 0.03529 0.245 123 0.975
ENSG00000159461 0.04107 0.03728 0.271 122 0.912 0.04107 0.03728 0.271 122 0.912
ENSG00000159479 0.01409 0.0352 0.689 124 0.995 0.01409 0.0352 0.689 124 0.995
ENSG00000159496 0.04057 0.03522 0.249 124 0.975 0.04057 0.03522 0.249 124 0.975
ENSG00000159556 0.00242 0.03523 0.945 122 0.751 0.00242 0.03523 0.945 122 0.751
ENSG00000159579 -0.00103 0.03691 0.978 124 0.894 -0.00103 0.03691 0.978 124 0.894
ENSG00000159588 -0.03342 0.03573 0.35 121 0.829 -0.03342 0.03573 0.35 121 0.829
ENSG00000159592 0.01333 0.03531 0.706 123 0.714 0.01333 0.03531 0.706 123 0.714
ENSG00000159593 0.03385 0.03566 0.342 120 0.974 0.03385 0.03566 0.342 120 0.974
ENSG00000159596 -0.0249 0.03911 0.524 120 0.953 -0.0249 0.03911 0.524 120 0.953
ENSG00000159618 0.01064 0.03682 0.773 125 0.791 0.01064 0.03682 0.773 125 0.791
ENSG00000159625 -0.02191 0.03745 0.558 122 0.87 -0.02191 0.03745 0.558 122 0.87
ENSG00000159640 0.0195 0.03521 0.58 122 0.974 0.0195 0.03521 0.58 122 0.974
ENSG00000159648 -0.00233 0.03751 0.951 121 0.748 -0.00233 0.03751 0.951 121 0.748
ENSG00000159658 0.00514 0.03955 0.897 118 0.996 0.00514 0.03955 0.897 118 0.996
ENSG00000159674 0.0158 0.03545 0.656 122 0.447 0.0158 0.03545 0.656 122 0.447
ENSG00000159685 0.0804 0.03609 0.0259 119 0.995 0.0804 0.03609 0.0259 119 0.995
ENSG00000159692 0.02315 0.03873 0.55 120 0.996 0.02315 0.03873 0.55 120 0.996
ENSG00000159708 -0.02876 0.03565 0.42 121 0.793 -0.02876 0.03565 0.42 121 0.793
ENSG00000159713 -0.0098 0.03592 0.785 117 0.948 -0.0098 0.03592 0.785 117 0.948
ENSG00000159714 -0.0717 0.03566 0.0444 119 0.7 -0.0717 0.03566 0.0444 119 0.7
ENSG00000159720 -0.00147 0.03561 0.967 122 0.655 -0.00147 0.03561 0.967 122 0.655
ENSG00000159723 -0.0104 0.03648 0.776 121 0.926 -0.0104 0.03648 0.776 121 0.926
ENSG00000159733 0.04696 0.03535 0.184 120 0.985 0.04696 0.03535 0.184 120 0.985
ENSG00000159753 0.06353 0.06953 0.361 98 1 0.06353 0.06953 0.361 98 1
ENSG00000159761 -0.02264 0.03879 0.559 121 0.97 -0.02264 0.03879 0.559 121 0.97
ENSG00000159784 0.05855 0.03564 0.1 121 0.893 0.05855 0.03564 0.1 121 0.893
ENSG00000159788 -0.03397 0.0353 0.336 123 0.773 -0.03397 0.0353 0.336 123 0.773
ENSG00000159792 -0.03133 0.03515 0.373 125 0.992 -0.03133 0.03515 0.373 125 0.992
ENSG00000159840 -0.00509 0.03516 0.885 125 0.645 -0.00509 0.03516 0.885 125 0.645
ENSG00000159842 -0.01546 0.0385 0.688 122 1 -0.01546 0.0385 0.688 122 1
ENSG00000159860 -0.00466 0.10805 0.966 71 1 -0.00466 0.10805 0.966 71 1
ENSG00000159871 -0.04183 0.03574 0.242 120 0.98 -0.04183 0.03574 0.242 120 0.98
ENSG00000159873 -0.00956 0.03508 0.785 124 0.916 -0.00956 0.03508 0.785 124 0.916
ENSG00000159882 0.03152 0.03574 0.378 120 0.56 0.03152 0.03574 0.378 120 0.56
ENSG00000159884 0.0573 0.05346 0.284 112 1 0.0573 0.05346 0.284 112 1
ENSG00000159885 -0.01815 0.03574 0.612 120 0.893 -0.01815 0.03574 0.612 120 0.893
ENSG00000159899 -0.03984 0.03865 0.303 122 0.93 -0.03984 0.03865 0.303 122 0.93
ENSG00000159904 -0.01902 0.04664 0.683 121 0.998 -0.01902 0.04664 0.683 121 0.998
ENSG00000159905 0.00358 0.03566 0.92 121 0.937 0.00358 0.03566 0.92 121 0.937
ENSG00000159915 0.01763 0.03671 0.631 116 0.992 0.01763 0.03671 0.631 116 0.992
ENSG00000159917 0.00189 0.03937 0.962 116 0.998 0.00189 0.03937 0.962 116 0.998
ENSG00000159921 0.05129 0.03521 0.145 125 0.877 0.05129 0.03521 0.145 125 0.877
ENSG00000159958 0.09626 0.0354 0.00654 120 0.939 0.09626 0.0354 0.00654 120 0.939
ENSG00000160007 0.03603 0.0402 0.37 116 0.979 0.03603 0.0402 0.37 116 0.979
ENSG00000160013 0.05812 0.03614 0.108 115 0.709 0.05812 0.03614 0.108 115 0.709
ENSG00000160014 -0.02153 0.03616 0.552 116 0.499 -0.02153 0.03616 0.552 116 0.499
ENSG00000160049 0.05626 0.03549 0.113 120 0.877 0.05626 0.03549 0.113 120 0.877
ENSG00000160050 -0.01215 0.03519 0.73 124 0.979 -0.01215 0.03519 0.73 124 0.979
ENSG00000160051 0.0215 0.03867 0.578 121 0.448 0.0215 0.03867 0.578 121 0.448
ENSG00000160055 0.05595 0.04015 0.164 115 0.986 0.05595 0.04015 0.164 115 0.986
ENSG00000160058 0.02006 0.03486 0.565 127 0.987 0.02006 0.03486 0.565 127 0.987
ENSG00000160072 -0.0683 0.03565 0.0554 122 0.908 -0.0683 0.03565 0.0554 122 0.908
ENSG00000160075 0.02316 0.03527 0.511 121 0.955 0.02316 0.03527 0.511 121 0.955
ENSG00000160087 -0.02707 0.03588 0.451 117 0.923 -0.02707 0.03588 0.451 117 0.923
ENSG00000160094 -0.05464 0.03532 0.122 123 0.787 -0.05464 0.03532 0.122 123 0.787
ENSG00000160097 -0.01979 0.0357 0.579 125 0.989 -0.01979 0.0357 0.579 125 0.989
ENSG00000160111 -0.03185 0.03547 0.369 119 0.515 -0.03185 0.03547 0.369 119 0.515
ENSG00000160113 -0.011 0.03567 0.758 116 0.945 -0.011 0.03567 0.758 116 0.945
ENSG00000160117 -0.00094 0.03936 0.981 116 0.861 -0.00094 0.03936 0.981 116 0.861
ENSG00000160124 -0.10674 0.0821 0.194 103 1 -0.10674 0.0821 0.194 103 1
ENSG00000160131 0.03468 0.06893 0.615 100 1 0.03468 0.06893 0.615 100 1
ENSG00000160145 -0.02747 0.03513 0.434 125 0.985 -0.02747 0.03513 0.434 125 0.985
ENSG00000160161 -0.02305 0.03651 0.528 117 0.986 -0.02305 0.03651 0.528 117 0.986
ENSG00000160172 0.03732 0.04328 0.389 114 0.998 0.03732 0.04328 0.389 114 0.998
ENSG00000160179 -0.07841 0.03544 0.0269 119 0.952 -0.07841 0.03544 0.0269 119 0.952
ENSG00000160180 0.02957 0.03508 0.399 125 0.8 0.02957 0.03508 0.399 125 0.8
ENSG00000160183 -0.03067 0.03518 0.383 125 0.925 -0.03067 0.03518 0.383 125 0.925
ENSG00000160185 0.06153 0.03538 0.0821 124 0.944 0.06153 0.03538 0.0821 124 0.944
ENSG00000160188 0.08678 0.0569 0.127 115 1 0.08678 0.0569 0.127 115 1
ENSG00000160190 0.00999 0.03508 0.776 124 0.743 0.00999 0.03508 0.776 124 0.743
ENSG00000160191 -0.00085 0.0353 0.981 124 0.45 -0.00085 0.0353 0.981 124 0.45
ENSG00000160193 -0.01034 0.03494 0.767 126 0.881 -0.01034 0.03494 0.767 126 0.881
ENSG00000160194 0.02302 0.0352 0.513 123 0.99 0.02302 0.0352 0.513 123 0.99
ENSG00000160199 0.01219 0.03519 0.729 123 0.734 0.01219 0.03519 0.729 123 0.734
ENSG00000160200 0.07702 0.03577 0.0313 125 0.345 0.07702 0.03577 0.0313 125 0.345
ENSG00000160201 0.03362 0.05471 0.539 105 0.999 0.03362 0.05471 0.539 105 0.999
ENSG00000160207 -0.04456 0.03698 0.228 118 0.993 -0.04456 0.03698 0.228 118 0.993
ENSG00000160208 0.02234 0.03533 0.527 123 0.739 0.02234 0.03533 0.527 123 0.739
ENSG00000160209 -0.05758 0.03529 0.103 122 0.957 -0.05758 0.03529 0.103 122 0.957
ENSG00000160211 0.10693 0.0691 0.122 100 1 0.10693 0.0691 0.122 100 1
ENSG00000160213 -0.01009 0.03529 0.775 127 0.458 -0.01009 0.03529 0.775 127 0.458
ENSG00000160214 0.00717 0.03883 0.854 124 0.936 0.00717 0.03883 0.854 124 0.936
ENSG00000160216 -0.00339 0.03506 0.923 126 0.795 -0.00339 0.03506 0.923 126 0.795
ENSG00000160218 -0.02141 0.0355 0.547 118 0.994 -0.02141 0.0355 0.547 118 0.994
ENSG00000160219 0.001 0.07118 0.989 95 1 0.001 0.07118 0.989 95 1
ENSG00000160221 0.01106 0.03519 0.753 124 0.981 0.01106 0.03519 0.753 124 0.981
ENSG00000160223 0.04046 0.03504 0.248 124 0.999 0.04046 0.03504 0.248 124 0.999
ENSG00000160224 0.03002 0.03516 0.393 124 0.969 0.03002 0.03516 0.393 124 0.969
ENSG00000160226 -0.07534 0.03488 0.0308 127 0.927 -0.07534 0.03488 0.0308 127 0.927
ENSG00000160229 0.00248 0.07581 0.974 88 1 0.00248 0.07581 0.974 88 1
ENSG00000160233 -0.01905 0.03516 0.588 123 0.899 -0.01905 0.03516 0.588 123 0.899
ENSG00000160255 0.0379 0.03568 0.288 122 1 0.0379 0.03568 0.288 122 1
ENSG00000160256 -0.06091 0.04149 0.142 124 0.997 -0.06091 0.04149 0.142 124 0.997
ENSG00000160271 0.07341 0.03538 0.038 121 0.852 0.07341 0.03538 0.038 121 0.852
ENSG00000160282 -0.04366 0.03515 0.214 126 0.665 -0.04366 0.03515 0.214 126 0.665
ENSG00000160284 -0.03614 0.03979 0.364 117 0.925 -0.03614 0.03979 0.364 117 0.925
ENSG00000160285 0.04449 0.0353 0.208 122 0.841 0.04449 0.0353 0.208 122 0.841
ENSG00000160293 -0.04766 0.03581 0.183 118 0.971 -0.04766 0.03581 0.183 118 0.971
ENSG00000160294 -0.00249 0.03522 0.944 122 1 -0.00249 0.03522 0.944 122 1
ENSG00000160298 -0.00758 0.03561 0.831 120 0.839 -0.00758 0.03561 0.831 120 0.839
ENSG00000160299 0.0337 0.03526 0.339 122 0.841 0.0337 0.03526 0.339 122 0.841
ENSG00000160305 -0.02637 0.03527 0.455 123 0.77 -0.02637 0.03527 0.455 123 0.77
ENSG00000160307 0.05235 0.05439 0.336 106 1 0.05235 0.05439 0.336 106 1
ENSG00000160310 0.05448 0.03539 0.124 120 0.739 0.05448 0.03539 0.124 120 0.739
ENSG00000160318 0.00415 0.03534 0.906 124 0.945 0.00415 0.03534 0.906 124 0.945
ENSG00000160321 0.08301 0.05513 0.132 104 1 0.08301 0.05513 0.132 104 1
ENSG00000160323 0.02979 0.03872 0.442 122 0.965 0.02979 0.03872 0.442 122 0.965
ENSG00000160325 0.04356 0.03933 0.268 120 0.81 0.04356 0.03933 0.268 120 0.81
ENSG00000160326 0.08023 0.07151 0.262 94 1 0.08023 0.07151 0.262 94 1
ENSG00000160336 0.01513 0.0355 0.67 119 0.996 0.01513 0.0355 0.67 119 0.996
ENSG00000160345 0.02567 0.03691 0.487 121 0.983 0.02567 0.03691 0.487 121 0.983
ENSG00000160352 -0.00669 0.03856 0.862 122 0.937 -0.00669 0.03856 0.862 122 0.937
ENSG00000160360 0.01285 0.03553 0.718 121 0.97 0.01285 0.03553 0.718 121 0.97
ENSG00000160392 -0.02393 0.03519 0.497 125 0.88 -0.02393 0.03519 0.497 125 0.88
ENSG00000160401 -0.01141 0.03892 0.769 123 0.998 -0.01141 0.03892 0.769 123 0.998
ENSG00000160404 -0.0073 0.03529 0.836 123 0.841 -0.0073 0.03529 0.836 123 0.841
ENSG00000160408 0.03471 0.03703 0.349 121 0.999 0.03471 0.03703 0.349 121 0.999
ENSG00000160410 0.00289 0.03541 0.935 121 0.946 0.00289 0.03541 0.935 121 0.946
ENSG00000160439 0.03591 0.05344 0.502 115 1 0.03591 0.05344 0.502 115 1
ENSG00000160445 0.01725 0.0353 0.625 120 0.971 0.01725 0.0353 0.625 120 0.971
ENSG00000160446 0.02588 0.03542 0.465 121 0.749 0.02588 0.03542 0.465 121 0.749
ENSG00000160447 0.02542 0.03536 0.472 121 0.797 0.02542 0.03536 0.472 121 0.797
ENSG00000160460 0.02736 0.03626 0.45 122 0.989 0.02736 0.03626 0.45 122 0.989
ENSG00000160469 -0.01148 0.03546 0.746 123 0.569 -0.01148 0.03546 0.746 123 0.569
ENSG00000160471 -0.04685 0.03606 0.194 121 0.856 -0.04685 0.03606 0.194 121 0.856
ENSG00000160505 0.04738 0.03639 0.193 121 0.848 0.04738 0.03639 0.193 121 0.848
ENSG00000160539 0.03589 0.03519 0.308 123 0.841 0.03589 0.03519 0.308 123 0.841
ENSG00000160551 0.06748 0.03502 0.054 125 0.996 0.06748 0.03502 0.054 125 0.996
ENSG00000160563 -0.01199 0.03872 0.757 124 0.96 -0.01199 0.03872 0.757 124 0.96
ENSG00000160570 0.02642 0.03682 0.473 111 0.965 0.02642 0.03682 0.473 111 0.965
ENSG00000160584 -0.03717 0.03529 0.292 122 0.933 -0.03717 0.03529 0.292 122 0.933
ENSG00000160588 0.03021 0.03551 0.395 118 0.851 0.03021 0.03551 0.395 118 0.851
ENSG00000160593 0.00399 0.03548 0.911 120 0.762 0.00399 0.03548 0.911 120 0.762
ENSG00000160602 0.00116 0.03523 0.974 122 0.834 0.00116 0.03523 0.974 122 0.834
ENSG00000160606 0.05853 0.03546 0.0988 125 0.556 0.05853 0.03546 0.0988 125 0.556
ENSG00000160613 0.12122 0.03521 0.000575 123 0.809 0.12122 0.03521 0.000575 123 0.809
ENSG00000160633 0.04847 0.03529 0.17 122 0.808 0.04847 0.03529 0.17 122 0.808
ENSG00000160654 -0.00207 0.05413 0.969 111 0.999 -0.00207 0.05413 0.969 111 0.999
ENSG00000160678 -0.02429 0.0388 0.531 124 0.974 -0.02429 0.0388 0.531 124 0.974
ENSG00000160679 -0.01385 0.03587 0.699 122 0.914 -0.01385 0.03587 0.699 122 0.914
ENSG00000160683 0.13221 0.03899 0.000696 119 0.987 0.13221 0.03899 0.000696 119 0.987
ENSG00000160685 -0.01797 0.03528 0.61 122 0.973 -0.01797 0.03528 0.61 122 0.973
ENSG00000160688 0.03133 0.03529 0.375 121 0.979 0.03133 0.03529 0.375 121 0.979
ENSG00000160691 0.01352 0.03514 0.7 123 0.753 0.01352 0.03514 0.7 123 0.753
ENSG00000160695 -0.01183 0.03554 0.739 117 0.856 -0.01183 0.03554 0.739 117 0.856
ENSG00000160703 -0.0685 0.03532 0.0524 122 0.962 -0.0685 0.03532 0.0524 122 0.962
ENSG00000160710 0.00386 0.03522 0.913 123 0.872 0.00386 0.03522 0.913 123 0.872
ENSG00000160712 0.00138 0.03544 0.969 119 0.987 0.00138 0.03544 0.969 119 0.987
ENSG00000160714 -0.00503 0.03529 0.887 122 0.984 -0.00503 0.03529 0.887 122 0.984
ENSG00000160716 0.05812 0.03676 0.114 116 0.575 0.05812 0.03676 0.114 116 0.575
